nimi_suomi,nimi_ruotsi,x,y,kunta
Kenttäpolku,Fältstigen,25500257.06,6691220.221,Vantaa
Lunnitie,Lunnevägen,25502683.65,6693430.188,Vantaa
Mahlapolku,Savstigen,25493688.5,6689788.624,Vantaa
Teknikontie,Teknikervägen,25497817.57,6688472.868,Vantaa
Kuuratie,Rimfrostvägen,25500940.57,6690248.352,Vantaa
Vahakuja,Vaxgränden,25506904.0,6689360.0,Vantaa
Syystuulentie,Höstvindsvägen,25495014.34,6694263.982,Vantaa
Viisukuja,Visgränden,25501524.3,6691832.056,Vantaa
Ahtimäentie,Ahtibackavägen,25487351.54,6691082.871,Vantaa
Norpanpiha,Vikaregården,25505794.68,6694003.224,Vantaa
Käräjäkuja,Tingsgränden,25497091.47,6686058.822,Vantaa
Riskilätie,Grisslavägen,25502715.0,6693646.0,Vantaa
Kvartsijuonenkuja,Kvartsådersgränden,25492118.0,6689938.0,Vantaa
Ison-Petaksen tie,Storpetasvägen,25505041.0,6688939.0,Vantaa
Tuomelantie,Tuomelavägen,25487995.78,6683497.955,Vantaa
Lupiinitie,Lupinvägen,25500884.36,6688884.215,Vantaa
Ruusukvartsinkuja,Rosenkvartsgränden,25491656.98,6689476.287,Vantaa
Tammikujanmetsikkö,Ekgrändsdungen,25502638.26,6689883.117,Vantaa
Ylermintie,Ylermivägen,25505940.55,6689569.996,Vantaa
Vanha Rekolantie,Gamla Räckhalsvägen,25503823.0,6689441.0,Vantaa
Niittypolku,Ängsstigen,25489484.18,6684448.784,Vantaa
Mäntykuja,Tallgränden,25491846.02,6695145.986,Vantaa
Hakalehdonkuja,Hagalundsgränden,25504331.8,6687656.499,Vantaa
Rouskukuja,Riskagränden,25496113.36,6685532.482,Vantaa
Sarakuja,Starrgränden,25501336.99,6686334.22,Vantaa
Vaapukkapolku,Hallonstigen,25495777.24,6685631.245,Vantaa
Ukonpolku,Högstigen,25508269.26,6685523.375,Vantaa
Solmu,Knuten,25489668.85,6683347.032,Vantaa
Viinimarjakuja,Vinbärsgränden,25495084.39,6684941.674,Vantaa
Varpusenkuja,Sparvgränden,25503904.3,6694924.232,Vantaa
Aarnenkuja,Aarnegränden,25504992.0,6690927.0,Vantaa
Päärynärinne,Päronbrinken,25500854.33,6689471.279,Vantaa
Kivipellontie,Stenåkersvägen,25490910.37,6690617.297,Vantaa
Huberinpolku,Hubers stig,25498188.0,6687168.0,Vantaa
Mäntymäki,Tallbacken,25491871.4,6695185.226,Vantaa
Vaaralankuja,Fagerstagränden,25505292.02,6683492.307,Vantaa
Polkkakuja,Polkastigen,25501595.46,6690848.223,Vantaa
Pirttirannantie,Pirttirantavägen,25491939.1,6693562.538,Vantaa
Hiiripolku,Mösstigen,25501571.07,6689178.93,Vantaa
Rakuunatie,Dragonvägen,25491659.26,6690533.983,Vantaa
Peitsikuja,Lansgränden,25491997.89,6690564.16,Vantaa
Jukolankuja,Jukolagränden,25488988.39,6695639.454,Vantaa
Palikkapolku,Klabbstigen,25486550.19,6690897.915,Vantaa
Pinokuja,Vedtravsgränden,25487864.7,6686139.449,Vantaa
Rastaskuja,Trastgränden,25504680.0,6695046.0,Vantaa
Tädyketie,Ärenprisvägen,25501604.83,6686467.307,Vantaa
Kotkansiipi,Örnvingen,25504072.8,6693292.996,Vantaa
Hellevinpolku,Hellevistigen,25505573.82,6690872.668,Vantaa
Ensimmäinensavu,Första röken,25497051.99,6687259.355,Vantaa
Putouskuja,Fallgränden,25491539.33,6683857.529,Vantaa
Marsurinne,Marsvinsbrinken,25505750.02,6692747.134,Vantaa
Ilmailukuja,Luftfartsgränden,25498359.36,6688840.396,Vantaa
Tuohikkokuja,Näverskäppsgränden,25488469.72,6686237.707,Vantaa
Harjukuja,Åsgränden,25500075.0,6689796.454,Vantaa
Kenttärinne,Fältbrinken,25500493.39,6691236.933,Vantaa
Osmanranta,Kaveldunsstranden,25500888.04,6687166.441,Vantaa
Spanskintie,Spanskisvägen,25496769.66,6686754.306,Vantaa
Turbiinikuja,Turbingränden,25497579.94,6688296.502,Vantaa
Sointukuja,Klanggränden,25501544.94,6691719.693,Vantaa
Mailatie,Bollträvägen,25505007.05,6681608.795,Vantaa
Palmusalonkuja,Palmusalogränden,25491589.23,6695565.59,Vantaa
Kaarnamäenkuja,Barkbacksgränden,25491014.18,6697592.843,Vantaa
Naalitaival,Fjällrävsstråten,25504979.22,6693091.839,Vantaa
Kolokalliontie,Hålabergsvägen,25490988.9,6684389.04,Vantaa
Köysikuja,Repgränden,25490171.0,6682296.0,Vantaa
Kisapolku,Kampstigen,25503672.74,6693643.584,Vantaa
Åbynkuja,Åbygränden,25492525.78,6688040.417,Vantaa
Kotikuusenkuja,Hemgransgränden,25491752.31,6695481.033,Vantaa
Kaukonkuja,Kaukogränden,25505168.54,6689663.186,Vantaa
Hirvastie,Rentjursvägen,25505779.31,6694139.57,Vantaa
Maisemapolku,Landskapsstigen,25500285.69,6689921.643,Vantaa
Pavintie,Pavivägen,25505426.0,6687025.0,Vantaa
Jukolantie,Jukolavägen,25488944.97,6695764.053,Vantaa
Siipitie,Vingvägen,25498753.59,6688279.657,Vantaa
Reunatie,Reunavägen,25491073.71,6696813.481,Vantaa
Poutarinne,Solvädersbrinken,25495103.08,6694161.714,Vantaa
Simakuja,Mjödgränden,25506654.95,6689402.971,Vantaa
Pikkukaari,Lillsvängen,25502962.84,6685657.192,Vantaa
Punatulkuntie,Domherrevägen,25504590.31,6694891.518,Vantaa
Degermosantie,Degermossvägen,25495139.18,6693115.015,Vantaa
Kolmikoivuntie,Trebjörksvägen,25488314.96,6687353.951,Vantaa
Sieppotie,Flugsnapparvägen,25503943.0,6694341.0,Vantaa
Nummitie,Movägen,25500916.28,6691415.157,Vantaa
Omenarinne,Äppelbrinken,25500862.03,6689323.048,Vantaa
Toinensavu,Andra röken,25497310.87,6687262.26,Vantaa
Päivätie,Dagvägen,25493270.32,6684951.787,Vantaa
Joikukuja,Joikgränden,25501521.9,6691767.929,Vantaa
Kappalaisenreitti,Kaplansrutten,25498747.0,6685509.0,Vantaa
Illenpiha,Illegården,25497861.91,6685592.934,Vantaa
Lihtakuja,Linskäktsgränden,25506575.69,6686332.77,Vantaa
Annankalliontie,Annebergsvägen,25504919.92,6685635.681,Vantaa
Mustikkamäentie,Blåbärsbackvägen,25495460.07,6686563.655,Vantaa
Pohjoiskulma,Norrvinkeln,25502805.65,6685508.911,Vantaa
Artturintie,Arthurvägen,25487717.27,6682320.561,Vantaa
Juhannuskuja,Midsommargränden,25495031.82,6693974.302,Vantaa
Beryllikatu,Beryllgatan,25491488.0,6688800.0,Vantaa
Kuuselantie,Kuuselavägen,25491762.79,6695628.422,Vantaa
Luhtaanmäenkuja,Luhtabackagränden,25489289.41,6692567.511,Vantaa
Niittykuja,Ängsgränden,25492823.66,6690411.344,Vantaa
Kiillekuja,Glimmergränden,25491447.39,6689597.457,Vantaa
Tapolankuja,Tapolagränden,25490685.52,6692267.411,Vantaa
Rantakukantie,Fackelblomsvägen,25501145.41,6686915.837,Vantaa
Hallinpiha,Gråsälsgården,25505824.9,6694037.358,Vantaa
Tammikuja,Ekgränden,25502750.15,6689912.881,Vantaa
Vantaanmäki,Vandabacken,25491837.24,6687703.183,Vantaa
Vesikuja,Vattengränden,25498756.23,6690402.29,Vantaa
Majavarinne,Bäverbrinken,25505028.83,6693422.085,Vantaa
Maitorpanpolku,Majtorpsstigen,25491227.51,6690530.816,Vantaa
Puumerkki,Bomärket,25492894.97,6685431.47,Vantaa
Joutsenkuja,Svangränden,25503693.02,6693825.901,Vantaa
Porraskuja,Spånggränden,25493416.09,6687663.472,Vantaa
Leksankuja,Leksas gränd,25490761.0,6689376.0,Vantaa
Sieppokuja,Flugsnappargränden,25503899.49,6694568.032,Vantaa
Satukuja,Sagogränden,25501372.93,6691278.03,Vantaa
Koivuhaankuja,Björkhagsgränden,25500065.59,6687899.11,Vantaa
Kuikkatie,Storlomsvägen,25502891.0,6693906.0,Vantaa
