nimi_suomi,nimi_ruotsi,x,y,kunta
Tuupakka,Stubbacka,25493974.0,6687113.0,Vantaa
Kalliosolanpolku,Bergpasstigen,25494781.0,6687173.0,Vantaa
Bergsbron,Bergsbron,25490705.0,6685556.0,Vantaa
Heurekansilta,Heurekabron,25502329.0,6686347.0,Vantaa
Virinpolku,Viristigen,25497945.0,6688299.0,Vantaa
Kappeli,Kapellet,25488837.0,6694000.0,Vantaa
Tapola,Tapola,25490712.0,6692148.0,Vantaa
Lautamiehenpolku,Nämndemansstigen,25496967.78,6685950.898,Vantaa
Kääpäpolku,Tickstigen,25494952.73,6685633.402,Vantaa
Vantaan Vauhtikeskus,Vanda Fartcentrum,25496111.0,6691033.0,Vantaa
Lipstikkapolku,Libersticksstigen,25503295.0,6691599.0,Vantaa
Myllysilta,Kvarnbron,25504621.0,6689650.0,Vantaa
Hanaböle,Hanaböle,25504035.0,6688926.0,Vantaa
Vaskivuorenpolku,Kopparbergsstigen,25492716.0,6683353.0,Vantaa
Mistelinmarja,Mistelbäret,25500058.02,6689267.085,Vantaa
Koivuvaaran yritysalue,Björkberga företagsområde,25489835.0,6682618.0,Vantaa
Asolanpolku,Asolastigen,25503128.55,6690329.551,Vantaa
Kuusikko,Sexan,25503932.0,6685534.0,Vantaa
Muikkupolku,Mujkstigen,25506376.25,6692973.31,Vantaa
Kuninkaanpolku,Kungsstigen,25506885.77,6687034.305,Vantaa
Lähdepuistonpolku,Källparksstigen,25505725.02,6683480.01,Vantaa
Kolohonka,Hålatallen,25505990.0,6687620.0,Vantaa
Myllykoskenpolku,Sågforsstigen,25504539.13,6689763.581,Vantaa
Vantaanpuisto,Vandaparken,25492435.0,6687598.0,Vantaa
Uranuksenpolku,Uranusstigen,25505793.3,6692345.185,Vantaa
Askistonsilta,Askisbron,25487890.0,6684622.0,Vantaa
Kanerva,Ljungmo,25503937.0,6685902.0,Vantaa
Louhela,Klippsta,25492008.0,6684252.0,Vantaa
Sitriinikuja,Citringränden,25491793.87,6689011.029,Vantaa
Kaivosvoudinpolku,Gruvfogdestigen,25492803.24,6683578.994,Vantaa
Leinelä,Lejle,25502186.0,6690185.0,Vantaa
Malmarinkäytävä,Malmarsgången,25504681.0,6685946.0,Vantaa
Heponiitty,Heponiitty,25487970.64,6692552.228,Vantaa
Avainpolku,Nyckelstigen,25490268.28,6684223.895,Vantaa
Heidehof,Heidehof,25502860.0,6685801.0,Vantaa
Satomäki,Brännmalmen,25503645.0,6687174.0,Vantaa
Ompelijanpolku,Sömmarstigen,25506231.0,6686686.0,Vantaa
Käpypolku,Kottstigen,25502631.1,6690363.778,Vantaa
Valjaspolku,Seltygsstigen,25487742.86,6682163.268,Vantaa
Koskipolku,Forsstigen,25491402.39,6683868.296,Vantaa
Liinakkopolku,Linluggsstigen,25505635.69,6685310.291,Vantaa
Pavinpolku,Pavistigen,25505320.0,6686819.0,Vantaa
Kuminahaka,Kumminhagen,25500824.1,6686653.864,Vantaa
Latopolku,Ladustigen,25489715.8,6683933.256,Vantaa
Koivurinteenraitti,Björkbrinksstråket,25488165.0,6686720.0,Vantaa
Kiirunankieppi,Fjällripssnöboet,25503500.0,6692771.0,Vantaa
Primaveransilta,Primaverabron,25502086.0,6690121.0,Vantaa
Härkälenkinpolku,Oxlänksstigen,25491411.0,6686886.0,Vantaa
Kirkonkylänpolku,Kyrkobystigen,25498639.88,6684191.24,Vantaa
Kirkonmaanpolku,Kyrkomarksstigen,25502907.41,6691609.05,Vantaa
Kirstinpolku,Kirstistigen,25505045.0,6691387.0,Vantaa
Monsaksenraitti,Månsasstråket,25491381.92,6685938.444,Vantaa
Keimolanmäki,Käinbybacka,25490725.0,6689468.0,Vantaa
Malmimäenkenttä,Malmbackaplanen,25502160.0,6688570.0,Vantaa
Ristipuro,Ristipuro,25500913.0,6689167.0,Vantaa
Korkinmäki,Korkinmäki,25502787.0,6694627.0,Vantaa
Kouluraitti,Skolstråket,25497904.21,6684411.485,Vantaa
Leirimäenpolku,Lägerbacksstigen,25491686.08,6682678.478,Vantaa
Petikonpolku,Petikstigen,25489142.0,6685302.0,Vantaa
Sahamäki,Sågbacka,25505247.0,6689420.0,Vantaa
Kennopolku,Cellstigen,25506995.0,6692167.0,Vantaa
Kilteri,Gillern,25491635.0,6683200.0,Vantaa
Lipstikka,Liberstickan,25503186.0,6691726.0,Vantaa
Petikon yritysalue,Petikko företagsområde,25489666.0,6685627.0,Vantaa
Hiippapolku,Mitrestigen,25492115.43,6687591.742,Vantaa
Maarukanpolku,Maarukkastigen,25505741.14,6691645.679,Vantaa
Kalliokielonpolku,Getramsstigen,25501144.93,6688141.817,Vantaa
Viherkumpu,Grönkulla,25493205.77,6684845.816,Vantaa
Vantaanportti,Vandaporten,25497836.0,6686799.0,Vantaa
Kivistöntähdenkaari,Kivistöstjärnsbågen,25491896.0,6689302.0,Vantaa
Tiilipojanpolku,Tegelpojksstigen,25489330.01,6684830.754,Vantaa
Soidinpolku,Orrspelsstigen,25503756.28,6692778.26,Vantaa
Tammistonpolku,Tammistostigen,25497726.47,6684727.169,Vantaa
Taksvärkkipolku,Dagsverksstigen,25492850.4,6686113.377,Vantaa
Koskelopolku,Skrakstigen,25503243.87,6693651.023,Vantaa
Valliraitti,Vallstråket,25506400.02,6681155.595,Vantaa
Sepänpiha,Smedsgården,25502425.0,6685773.0,Vantaa
Vaihdepolku,Växelstigen,25502380.0,6687290.0,Vantaa
Iskospolku,Stenflisstigen,25491761.0,6683272.0,Vantaa
Saagakuja,Sagagränden,25506536.0,6685941.0,Vantaa
Louhijanpolku,Malmbrytarstigen,25493013.0,6683512.0,Vantaa
Kylväjänpolku,Såningsmansstigen,25489082.0,6683964.0,Vantaa
Kavioura,Travspåret,25506031.0,6685179.0,Vantaa
Pirtarinne,Vävskedsbrinken,25506520.0,6687226.0,Vantaa
Vantaanportinpolku,Vandaportsstigen,25498076.0,6686309.0,Vantaa
Lehdokkipolku,Nattviolsstigen,25501986.24,6687001.652,Vantaa
Hohtimienpolku,Hovtångsstigen,25489814.0,6683115.0,Vantaa
Talkooraitti,Talkostråket,25502571.0,6687807.0,Vantaa
Raiviosuonpolku,Rödjekärrsstigen,25491404.63,6685394.269,Vantaa
Mestarinpolku,Mästarstigen,25491735.83,6688347.977,Vantaa
Tykkipolku,Kanonstigen,25506322.19,6680994.121,Vantaa
Kehä III,Ring III,25506823.0,6682899.0,Vantaa
Vehnäkuja,Vetegränden,25503036.0,6687807.0,Vantaa
Päivänpaisteenpolku,Solskensstigen,25493318.0,6685041.0,Vantaa
Viherpolku,Grönstigen,25491486.0,6684598.0,Vantaa
Skobbaksenkuja,Skobbasgränden,25487915.0,6684826.0,Vantaa
Rautatiealue,,25502506.12,6686832.818,Vantaa
Rajakenttä,Råbyplan,25506063.0,6681698.0,Vantaa
Koskenniska,Forsnacken,25504638.33,6689902.574,Vantaa
Porvoonväylä,Borgåleden,25506285.0,6682464.0,Vantaa
Kulomäentie,Brännbergavägen,25506050.0,6692410.0,Vantaa
Syväkivenpolku,Djupbergsstigen,25491302.0,6688968.0,Vantaa
Talkoopolku,Talkostigen,25505148.0,6683707.0,Vantaa
Tammenterhonpolku,Ekollonsstigen,25498095.0,6683927.79,Vantaa
Kolikkopolku,Myntstigen,25497825.0,6687402.0,Vantaa
Normannipolku,Normanstigen,25506770.0,6685653.0,Vantaa
Helsinki-Vantaan lentoasema,Helsingfors-Vanda flygplats,25497973.0,6688664.0,Vantaa
Koukkuveräjä,Krokgrinden,25492586.96,6685861.581,Vantaa
Nikkarinpolku,Snickarstigen,25489889.0,6683331.0,Vantaa
Venuksenpolku,Venusstigen,25505580.27,6692286.365,Vantaa
Hirvipolku,Älgstigen,25505440.0,6694771.0,Vantaa
Askiminpolku,Askimstigen,25506365.0,6685539.0,Vantaa
Hakasuonpolku,Hagkärrsstigen,25495262.0,6685914.0,Vantaa
Marsinpolku,Marsstigen,25505666.0,6692107.0,Vantaa
Kolmiokirkonrinne,Triangelkyrksbrinken,25505350.0,6683515.0,Vantaa
Ilopolku,Glädjestigen,25501062.61,6690368.072,Vantaa
Mantelilastu,Mandelspånet,25489203.0,6682760.0,Vantaa
Saagapolku,Sagastigen,25506508.02,6685804.782,Vantaa
Viikinkipolku,Vikingastigen,25506783.19,6685540.812,Vantaa
Virpipolku,Vidjestigen,25503347.54,6689954.471,Vantaa
Vehkala,Veckal,25490705.0,6686542.0,Vantaa
Pellas,Pellas,25490747.0,6684156.0,Vantaa
Raiviopolku,Rödjestigen,25491665.0,6685230.0,Vantaa
Metsolanpolku,Skogsstigen,25504628.2,6693120.786,Vantaa
Saksipolku,Saxstigen,25506347.0,6686305.0,Vantaa
Leineläntaival,Lejlestråten,25502115.0,6690376.0,Vantaa
Antaksenpolku,Antasstigen,25497151.0,6686500.0,Vantaa
Tapparapolku,Stridsyxstigen,25491776.0,6690050.564,Vantaa
Niittyvillanpolku,Ängsullsstigen,25499511.67,6686990.204,Vantaa
Laajavuorenpolku,Bredbergsstigen,25491435.73,6685208.113,Vantaa
Miilupolku,Milstigen,25503569.93,6692463.043,Vantaa
Minkkipolku,Minkstigen,25504526.0,6693082.0,Vantaa
Vuolukivenpolku,Täljstensstigen,25491235.0,6690263.0,Vantaa
Siemenpolku,Fröstigen,25489242.0,6683945.0,Vantaa
Valuuttapolku,Valutastigen,25498093.0,6686682.0,Vantaa
Vannaspolku,Plogbillsstigen,25488601.0,6683874.0,Vantaa
Ravurinpolku,Travarstigen,25506026.0,6685015.0,Vantaa
Kaukonpolku,Kaukostigen,25505264.78,6689615.912,Vantaa
Kuhilasrinne,Skylbrinken,25488815.68,6683767.741,Vantaa
Rataspolku,Hjulstigen,25491531.0,6686031.0,Vantaa
Jasmiinipolku,Jasminstigen,25500195.95,6688853.143,Vantaa
Korennonpolku,Sländastigen,25508051.0,6692119.0,Vantaa
Rapupolku,Kräftstigen,25506648.0,6692560.0,Vantaa
Ilonanpolku,Ilonastigen,25505715.0,6690956.0,Vantaa
Raikupolku,Skallstigen,25492153.0,6685094.0,Vantaa
Ulkoniitynpolku,Utängsstigen,25489326.0,6683921.0,Vantaa
Orminpolku,Ormstigen,25506485.0,6685449.0,Vantaa
Sormuspolku,Fingerringsstigen,25492156.0,6682713.0,Vantaa
Kinesmanpolku,Kinesmastigen,25502819.92,6690096.604,Vantaa
Metsikkökäytävä,Skogsdungsgången,25492098.0,6685343.0,Vantaa
Kaislapolku,Sävstigen,25501047.0,6686418.0,Vantaa
Kinaporinpolku,Kinaborgsstigen,25502640.4,6687404.358,Vantaa
Koivutaival,Björkstråten,25501738.48,6690704.955,Vantaa
Hoorikinpolku,Håriksstigen,25489935.0,6686213.0,Vantaa
Kydönkatu,Kyttlandsgatan,25503511.05,6689810.572,Vantaa
Rajakylänpolku,Råbystigen,25505452.43,6682317.437,Vantaa
Atlaspolku,Atlasstigen,25500548.0,6690577.0,Vantaa
Palttinapolku,Lärftstigen,25506117.6,6686240.242,Vantaa
Peltovuorenpolku,Åkerbergsstigen,25495735.46,6685795.609,Vantaa
Kukkopolku,Tuppstigen,25500080.78,6688102.992,Vantaa
Hakunilanraitti,Håkansleden,25505857.0,6685228.0,Vantaa
Horsmapolku,Dunörtsstigen,25501794.0,6686251.0,Vantaa
Lähteensilmänpolku,Källsprångsstigen,25505654.92,6683700.869,Vantaa
Laajaniitynpolku,Bredängsstigen,25491623.51,6685109.671,Vantaa
Tyttökummunpolku,Tyttökumpustigen,25490951.0,6686072.0,Vantaa
Perintöpolku,Arvsstigen,25498231.0,6686878.0,Vantaa
Lillaksenpolku,Lillasstigen,25491817.0,6684968.0,Vantaa
Edvard Blomqvistin polku,Edvard Blomqvists stig,25503051.15,6687295.13,Vantaa
Kierrepolku,Skruvgängsstigen,25489934.0,6682717.0,Vantaa
Raudikkopolku,Fuxstigen,25505847.85,6684877.074,Vantaa
Kastanjapolku,Kastanjestigen,25489096.49,6682704.715,Vantaa
Pyyntipolku,Fångststigen,25491477.0,6682781.0,Vantaa
Talvikkipolku,Pyrolastigen,25501929.94,6687269.81,Vantaa
Joukonpolku,Joukostigen,25504371.0,6691310.0,Vantaa
Laajapolku,Bredstigen,25491788.0,6685128.0,Vantaa
Ohtolanpolku,Björnsstigen,25499348.0,6687222.0,Vantaa
Rahkasammalenpolku,Vitmossastigen ,25503717.97,6685591.509,Vantaa
Kaurapellonpolku,Havreåkerstigen,25497783.0,6684347.0,Vantaa
Kehärata,Ringbanan,25493272.0,6689253.0,Vantaa
Pähkinäpolku,Hasselstigen,25489114.81,6683354.312,Vantaa
Askistonraitti,Askisstråket,25487756.73,6685486.89,Vantaa
Nevapolku,Nevastigen,25503956.7,6685406.898,Vantaa
Juolukkapolku,Odonstigen,25495202.91,6685808.82,Vantaa
Koiruohonpolku,Malörtsstigen,25501379.05,6686784.12,Vantaa
Silkkipolku,Silkesstigen,25501989.0,6686260.0,Vantaa
Pilkeraitti,Klabbstråket,25488142.0,6686676.0,Vantaa
Ryytipolku,Kryddstigen,25488345.0,6684001.0,Vantaa
Kuntopolku,Konditionsstigen,25506203.0,6681285.638,Vantaa
Keskipäivänpolku,Middagsstigen,25493264.3,6684925.018,Vantaa
Malmipolku,Malmstigen,25501926.32,6688637.436,Vantaa
Peltoniemenkatu,Åkernäsgatan,25503522.0,6689581.0,Vantaa
Lauhapolku,Tåtelstigen,25501056.0,6686642.0,Vantaa
Orioninpolku,Orionstigen,25504968.65,6692456.684,Vantaa
Sorapolku,Grusstigen,25501914.96,6688501.764,Vantaa
Kaviopolku,Hästhovsstigen,25505924.0,6685027.0,Vantaa
Kilterinaukio,Gillerplatsen,25491852.28,6682741.563,Vantaa
Hieskoivunpolku,Glasbjörksstigen,25488284.0,6686724.0,Vantaa
Raivaajanpolku,Röjarstigen,25505252.57,6685704.965,Vantaa
Rihmapolku,Trådstigen,25506595.16,6686679.137,Vantaa
Hirsipolku,Stockstigen,25487958.0,6686010.0,Vantaa
Marjakuusenpolku,Idegransstigen,25502847.05,6689994.847,Vantaa
Lahdenväylä,Lahtisleden,25505268.73,6687159.657,Vantaa
Tukkilaisenpolku,Flottarstigen,25488011.48,6685496.96,Vantaa
Ilvespolku,Lostigen,25505285.25,6694400.504,Vantaa
Metsäniitynpolku,Skogsängsstigen,25494819.0,6684934.0,Vantaa
Värttinäpolku,Sländstigen,25505861.51,6686725.368,Vantaa
Näkinkuorenpolku,Snäckstigen,25491430.18,6683067.348,Vantaa
Raappavuorenpolku,Skrapbergsstigen,25491315.03,6684796.294,Vantaa
Metsikköpolku,Skogsdungsstigen,25492206.06,6685158.367,Vantaa
Sorvipolku,Svarvstigen ,25489940.0,6683531.0,Vantaa
Liisankallionpolku,Alicebergsstigen,25504625.46,6685744.281,Vantaa
Hämeenlinnanväylä,Tavastehusleden,25493065.43,6684260.879,Vantaa
Malminiitynpolku,Malmängsstigen,25501980.0,6689045.0,Vantaa
Noropolku,Rännilsstigen,25491851.28,6683980.826,Vantaa
Jokipakanpolku,Åbackastigen,25503664.58,6686758.889,Vantaa
Saniaispolku,Ormbunksstigen,25501229.99,6688994.152,Vantaa
Ruusuvuorenrinne,Rosenbergsbrinken,25504272.0,6693463.0,Vantaa
Rälssipolku,Frälsestigen,25498447.56,6687009.881,Vantaa
Kuusikkopolku,Sexansstigen,25503444.0,6685631.0,Vantaa
Nauhapolku,Bandstigen,25506496.36,6686854.468,Vantaa
Reittimäki,Ledbacken,25492015.92,6687710.693,Vantaa
Kuoppapolku,Gropstigen,25500133.0,6689602.0,Vantaa
Saumapolku,Sömstigen,25506400.77,6686751.693,Vantaa
Korppikotkanpolku,Gamstigen,25504328.0,6693275.0,Vantaa
Vuoripuistonpolku,Bergparksstigen,25500536.0,6689437.0,Vantaa
Kulorastaanpolku,Dubbeltraststigen,25503221.96,6692614.716,Vantaa
Mäyräpolku,Grävlingsstigen,25504368.04,6693252.449,Vantaa
Solkipolku,Spännestigen,25492196.51,6682989.39,Vantaa
Vehnäpolku,Vetestigen,25503071.7,6687844.951,Vantaa
Otto Weckströmin polku,Otto Weckströms stig,25499154.0,6685532.0,Vantaa
Linnoituspolku,Skansstigen,25506498.3,6681261.767,Vantaa
Linderinpolku,Lindersstigen,25492940.32,6683826.971,Vantaa
Lentokenttä Teknillinen Alue,,25497626.0,6689055.0,Vantaa
Naulankanta,Spikhuvudet,25490881.23,6683529.005,Vantaa
Teatteripolku,Teaterstigen,25502619.19,6686753.38,Vantaa
Muuntopolku,Transformatorstigen,25498202.0,6686157.0,Vantaa
Sienestäjänpolku,Svampplockarstigen,25496029.23,6685527.98,Vantaa
Kesäkylä,Sommarbo,25495004.0,6694143.0,Vantaa
Lipunkantajanpolku,Fanbärarstigen,25491679.0,6690049.0,Vantaa
Hiiriharjunpolku,Mössåsstigen,25501386.67,6689257.568,Vantaa
Koppelokuja,Tjäderhönsgränden,25503844.0,6693032.0,Vantaa
Liljapolku,Liljestigen,25501284.97,6686540.179,Vantaa
Kesantopolku,Trädesstigen,25488505.0,6683783.0,Vantaa
Miekkapolku,Svärdstigen,25491368.5,6690628.428,Vantaa
Ojapolku,Bäckstigen,25491830.6,6683626.173,Vantaa
Petkelpolku,Barkjärnsstigen,25490221.0,6683628.0,Vantaa
Eddapolku,Eddastigen,25506632.0,6685828.0,Vantaa
Näätäpolku,Mårdstigen,25504730.3,6692626.105,Vantaa
Eräpolku,Jaktstigen,25492059.24,6684242.461,Vantaa
Vaaksiaisenrinne,Harkranksbrinken,25507681.74,6692059.737,Vantaa
Safiiripolku,Safirstigen,25491669.0,6689380.0,Vantaa
Tanupolku,Styckmösstigen,25499414.0,6686256.0,Vantaa
Satopolku,Skördstigen,25503245.0,6687128.0,Vantaa
Kointähdenpolku,Morgonstjärnestigen,25504209.04,6692632.795,Vantaa
Koivupolku,Björkstigen,25502265.0,6689950.0,Vantaa
Suvantopolku,Lugnvattensstigen,25491691.58,6683602.481,Vantaa
Hailipolku,Vassbuksstigen,25506435.47,6693093.24,Vantaa
Tuuliviiri,Vindflöjeln,25493006.0,6685726.0,Vantaa
Ruusuvuorenpolku,Rosenbergsstigen,25504235.18,6693446.771,Vantaa
Ahmapolku,Järvstigen,25505170.75,6694740.879,Vantaa
Kisällinpolku,Gesällstigen,25492067.37,6688365.861,Vantaa
Valimopolku,Gjuteristigen,25498812.0,6686624.0,Vantaa
Uomapolku,Strömfårastigen,25491688.0,6684043.0,Vantaa
Askinpolku,Askstigen,25488039.0,6685263.0,Vantaa
Leikkipolku,Lekstigen,25501354.18,6690979.75,Vantaa
Rälssipuistonpolku,Frälseparksstigen,25498392.0,6687170.0,Vantaa
Rajakentänpolku,Råbyplansstigen,25505915.35,6681583.548,Vantaa
Chopininpolku,Chopinstigen,25491788.0,6683693.0,Vantaa
Kolkkapolku,Hörnstigen,25504958.45,6683830.452,Vantaa
Laukkapolku,Galoppstigen,25505726.0,6685186.0,Vantaa
Kukinpolku,Kuggstigen,25492360.0,6685200.0,Vantaa
Lounapolku,Söderstigen,25493358.0,6685145.0,Vantaa
Otto Kohtasen polku,Otto Kohtanens stig,25502883.72,6687140.449,Vantaa
Simonkallionpolku,Simonsbergsstigen,25501227.76,6688160.812,Vantaa
Porttipuistonpolku,Portparksstigen,25504499.0,6685129.0,Vantaa
Tasettipolku,Tazettstigen,25500373.0,6688569.568,Vantaa
Räätälinpolku,Skräddarstigen,25506168.24,6686917.27,Vantaa
Kaivosrinteenpolku,Gruvhöjdsstigen,25493014.98,6684112.99,Vantaa
Tolkinmetsänpolku,Tolkskogsstigen,25495738.0,6685720.0,Vantaa
Näätärinne,Mårdbrinken,25504861.46,6692656.25,Vantaa
Myllymäenpolku,Kvarnbackastigen,25491211.56,6686007.213,Vantaa
Ojapuistonpolku,Bäckparksstigen,25492001.21,6683849.1,Vantaa
Santaradanpolku,Sandbansstigen,25503835.0,6686705.0,Vantaa
Riipuspolku,Hängsmyckestigen,25492229.97,6682975.052,Vantaa
Kivivuorenpolku,Stenbergsstigen,25492259.29,6685557.774,Vantaa
Germanianpolku,Germaniastigen,25502319.0,6686754.0,Vantaa
Maarinsarka,Martegen,25503635.0,6686420.0,Vantaa
Saturnuksenpolku,Saturnusstigen,25505236.12,6691980.332,Vantaa
Linjapolku,Linjestigen,25505538.15,6687553.295,Vantaa
Aapraminpolku,Abramsstigen,25492691.0,6682661.0,Vantaa
Kulosilta,Brännbergabron,25503514.39,6692664.361,Vantaa
Itäväylä,Österleden,25508828.3,6681784.91,Vantaa
Juuripolku,Rotstigen,25492890.0,6690010.0,Vantaa
Keihäspolku,Spjutstigen,25506002.0,6681175.0,Vantaa
Arvo Tammisen polku,Arvo Tamminens stig,25502835.7,6686953.516,Vantaa
Orvokkipolku,Violstigen,25502121.09,6686990.581,Vantaa
Varvikkopolku,Risstigen,25503522.0,6690274.0,Vantaa
Uudentuvanpolku,Nystugustigen,25487796.76,6685296.591,Vantaa
Kolmiokirkonpolku,Triangelkyrksstigen,25505375.0,6683440.0,Vantaa
Ebbanpolku,Ebbastigen,25501300.39,6690610.629,Vantaa
Jalaspolku,Medstigen,25487575.0,6682572.0,Vantaa
Tammirinteenpolku,Ekbrinksstigen,25493252.34,6692897.832,Vantaa
Klemetinpolku,Klemetsstigen,25495285.0,6684920.0,Vantaa
Jönsaksenpiha,Jönsasgården,25492215.0,6683157.0,Vantaa
Tuusulantie,Tusbyvägen,25499959.0,6688359.0,Vantaa
Pöllökallionpolku,Långbackastigen,25489328.0,6682446.0,Vantaa
Lindmaninpolku,Lindmansstigen,25503911.0,6685352.0,Vantaa
Äespolku,Harvstigen,25488737.23,6683612.541,Vantaa
Hakamaanpolku,Hagmarksstigen,25492136.64,6683578.225,Vantaa
Kalmurinkäytävä,Kallmursgången,25504430.72,6693842.618,Vantaa
Kotkapolku,Örnstigen,25504097.06,6693293.702,Vantaa
Simonmetsä,Simonsskog,25501471.29,6688514.506,Vantaa
Yhtiönpolku,Bolagsstigen,25493021.0,6683212.0,Vantaa
Maarinojanpolku,Marbäcksstigen,25503653.0,6686671.0,Vantaa
Leenanpolku,Lenastigen,25505225.0,6691882.0,Vantaa
Vihdintie,Vichtisvägen,25490448.0,6682301.0,Vantaa
Telluksenpolku,Tellusstigen,25505102.0,6692148.0,Vantaa
Tuusulanväylä,Tusbyleden,25498332.32,6683759.336,Vantaa
Kaulakorunpolku,Halsbandsstigen,25491990.0,6682938.0,Vantaa
Piipolku,Flintstigen,25491510.69,6683004.565,Vantaa
Sandbackanraitti,Sandbackastråket,25497163.81,6685962.255,Vantaa
Hiirilammenpolku,Mösskärrsstigen,25501543.0,6689196.0,Vantaa
Virmajuurenranta,Vendelörtsstranden,25500859.0,6686996.0,Vantaa
Lintukallionpolku,Fågelbergsstigen,25492252.78,6685605.785,Vantaa
Haravapolku,Räfsstigen,25489356.0,6684142.0,Vantaa
Metsomäenpolku,Tjäderbackstigen,25506721.99,6686373.219,Vantaa
Hepopolku,Häststigen,25505698.44,6684476.439,Vantaa
Tähkätorinpolku,Axtorgsstigen ,25503442.0,6687472.0,Vantaa
Krakanpolku,Skrakastigen,25496999.39,6686153.665,Vantaa
Nokipolku,Sotstigen,25491633.49,6682995.878,Vantaa
Taivalniitynpolku,Edesängsstigen,25493320.0,6683357.0,Vantaa
Lähdekallionpolku,Källbergsstigen,25504723.0,6685771.0,Vantaa
Rukinlapa,Spinnrockshuvudet,25506138.66,6687001.569,Vantaa
Sahapolku,Sågstigen,25490313.89,6682786.05,Vantaa
Rautapolku,Järnstigen,25504366.77,6692804.259,Vantaa
Påkaksenpolku,Påkasstigen,25502694.76,6686162.349,Vantaa
Hyasinttipolku,Hyacintstigen,25500168.68,6688439.23,Vantaa
Hiirakkopolku,Musblacksstigen,25505507.71,6684646.183,Vantaa
Menuettipolku,Menuettstigen,25501583.99,6690745.599,Vantaa
Pekanpolku,Petersstigen,25504734.69,6690718.75,Vantaa
Siniketunpolku,Blårävsstigen,25504948.32,6692689.009,Vantaa
Korson liikuntapuisto,Korso idrottspark,25503837.0,6693814.0,Vantaa
Hevoshaanpolku,Hästhagsstigen,25505729.03,6684660.742,Vantaa
Höyläpolku,Hyvelstigen,25490265.72,6683118.83,Vantaa
Tikkuraitti,Dickurstråket,25501920.0,6686776.0,Vantaa
Toukopolku,Vårbruksstigen,25503212.26,6687619.77,Vantaa
Lyhdepolku,Kärvstigen,25488785.0,6683655.0,Vantaa
Hannu I. Miettisen aukio,Hannu I. Miettinens plats,25502258.23,6686174.568,Vantaa
Lautmäensilta,Lautmäkibron,25489373.08,6692279.429,Vantaa
Tapolansilta ,Tapolabron,25490640.42,6692072.29,Vantaa
Hannulansilta ,Hannulabron,25492586.25,6692389.423,Vantaa
Riipilänsilta ,Ripubybron,25492178.11,6694038.251,Vantaa
Ruhansilta ,Ruhabron,25491183.15,6693690.377,Vantaa
Luhtaanmäen kivisilta,Luhtabacka stenbro,25489397.88,6692279.974,Vantaa
Erikaksensillat,Erikasbroarna,25492545.6,6687058.043,Vantaa
Vantaankoskensilta,Vandaforsbron,25492585.5,6686797.988,Vantaa
Mustakoskensilta,Svartforsbron,25492802.03,6686821.37,Vantaa
Lillaksensilta,Lillasbron,25493808.41,6686155.625,Vantaa
Dalforsinniemi,Dalforsnäset,25492676.77,6686711.935,Vantaa
Kormuntaka,Kormtak,25503087.5,6688632.843,Vantaa
Huberila,Hubers,25498500.97,6686869.169,Vantaa
Tikkurilanraitio,Dickursbyspåret,25502192.5,6686884.982,Vantaa
Aerolankenttä,Aerolaplanen,25498438.54,6687360.9,Vantaa
Leinonlammikko,Leinogölen,25498487.19,6687221.473,Vantaa
Palloilijanaukio,Bollspelarplatsen,25498367.9,6687410.768,Vantaa
Havumalmi,Barrmalmen,25506488.73,6683111.563,Vantaa
Arpa-aukio,Lottplatsen,25489567.48,6683045.96,Vantaa
Lounaniitynkenttä,Söderängsplanen,25493476.49,6684933.102,Vantaa
Karppipuisto,Karpparken,25507735.89,6693596.933,Vantaa
Kivistöntähti,Kivistös stjärna,25491866.19,6689363.358,Vantaa
Linnaistenmetsä,Linnaisskogen,25488205.91,6682060.494,Vantaa
Voimamäki,Kraftkullan,25506110.66,6682492.756,Vantaa
Kvartsijuonenpuisto,Kvartsådersparken,25492206.26,6689962.889,Vantaa
Sarvijaakonvalli,Hornbaggsvallen,25506252.48,6691899.35,Vantaa
Rihmarulla,Trådrullen,25506515.89,6686768.866,Vantaa
Kiirunanpesä,Fjällripsboet,25503488.4,6692760.001,Vantaa
Hämeenkylänkenttä,Tavastbyplanen,25489011.46,6684193.136,Vantaa
Kyynelkoivunpuisto,Tårbjörksparken,25488042.7,6686627.788,Vantaa
Tähtönen,Lillstjärnan,25504303.1,6692693.526,Vantaa
Karhumäenkallio,Karhumäkiberget,25497945.37,6688110.384,Vantaa
Mielikinpuisto,Mielikkiparken,25505316.64,6690137.047,Vantaa
Kauriinpuisto,Stenbocksparken,25505213.36,6692812.456,Vantaa
Karviaispuisto,Krusbärsparken,25494901.4,6685009.732,Vantaa
Otavanpuisto,Karlavagnsparken,25504439.54,6692366.755,Vantaa
Yrttipuisto,Örtparken,25502021.73,6687748.626,Vantaa
Kanervanpuisto,Ljungmoparken,25503785.78,6686441.113,Vantaa
Vasamapuisto,Skäktparken,25494376.76,6687571.968,Vantaa
Silvolankankaanpuisto,Sillbölemalmsparken,25494069.04,6683910.715,Vantaa
Vanha Kormuniitty,Gamla Kormängen,25506078.43,6684093.31,Vantaa
Kiertotähdenpuisto,Planetparken,25504199.39,6691709.815,Vantaa
Tiedepuisto,Vetenskapsparken,25502143.99,6686223.721,Vantaa
Tammapuisto,Märrparken,25505685.3,6684449.048,Vantaa
Karhuniitty,Björnängen,25495106.81,6685698.373,Vantaa
